imageId,distance(km),imageFraction
C0952023,90338367,0.07366
C0952029,90333544,0.07366
C0952036,90327917,0.07367
C0952043,90322290,0.07367
C0952050,90316663,0.00985
C0952451,90122938,0.07384
C0952457,90118114,0.07384
C0952504,90112488,0.07384
C0952511,90106861,0.07385
C0952518,90101234,0.00988
C0953815,89476643,0.07437
C0953821,89471820,0.07437
C0953827,89466996,0.07438
C0953834,89461369,0.07438
C0953841,89455742,0.07439
C0954241,89262816,0.07455
C0954247,89257993,0.07455
C0954253,89253170,0.07455
C0954300,89247543,0.07456
C0954307,89241916,0.07456
C0954711,89045773,0.07473
C0954717,89040950,0.07473
C0954724,89035323,0.07474
C0954731,89029696,0.07474
C0954738,89024069,0.01
C0955139,88830337,0.07491
C0955145,88825513,0.07491
C0955152,88819886,0.07492
C0955159,88814259,0.07492
C0955206,88808632,0.01002
C0956449,88053567,0.00414
C0956503,88184020,0.07546
C0956509,88179197,0.07546
C0956516,88173569,0.07547
C0956523,88167942,0.07547
C0956530,88162315,0.01009
C0956931,87968579,0.07564
C0956937,87963756,0.07565
C0956944,87958129,0.07565
C0956951,87952502,0.07566
C0956958,87946874,0.01012
C0957359,87753138,0.07583
C0957405,87748314,0.07583
C0957412,87742687,0.07584
C0957419,87737060,0.07584
C0957426,87731433,0.01014
C0958709,87118065,0.07638
C0958811,87068224,0.01022
C0958822,87059381,0.01022
C0958833,87050539,0.01022
C0958844,87041696,0.01022
C0958855,87032853,0.01023
C0958906,87024010,0.01023
C0958917,87015168,0.01023
C0958928,87006325,0.01023
C0958939,86997482,0.01023
C0958950,86988639,0.01023
C0959001,86979796,0.01023
C0959012,86970954,0.01023
C0959023,86962111,0.01023
C0959034,86953268,0.01023
C0959045,86944425,0.01024
C0959056,86935582,0.01024
C0959107,86926740,0.01024
C0959118,86917897,0.01024
C0959129,86909054,0.01024
C0959211,86875291,0.01024
C0959215,86872075,0.01024
C0959219,86868860,0.01024
C0959223,86865644,0.01024
C0959227,86862429,0.01025
C0959231,86859213,0.01025
C0959235,86855997,0.01025
C0959239,86852782,0.01025
C0959243,86849566,0.01025
C0959247,86846351,0.01025
C0959251,86843135,0.01025
C0959255,86839920,0.01025
C0959259,86836704,0.01025
C0959303,86833488,0.01025
C0959307,86830273,0.01025
C0959311,86827057,0.01025
C0959315,86823842,0.01025
C0959319,86820626,0.01025
C0959323,86817411,0.01025
C0959327,86814195,0.01025
C0959331,86810980,0.01025
C0959335,86807764,0.01025
C0959339,86804548,0.01025
C0959343,86801333,0.01025
C0959347,86798117,0.01025
C0959351,86794902,0.01025
C0959355,86791686,0.01025
C0959359,86788471,0.01025
C0959403,86785255,0.01025
C0959407,86782040,0.01025
C0959411,86778824,0.01026
C0959415,86775608,0.01026
C0959419,86772393,0.01026
C0959423,86769177,0.01026
C0959427,86765962,0.01026
C0959431,86762746,0.01026
C0959435,86759531,0.01026
C0959439,86756315,0.01026
C0959443,86753100,0.01026
C0959447,86749884,0.01026
C0959451,86746668,0.01026
C0959455,86743453,0.01026
C0959459,86740237,0.01026
C0959503,86737022,0.01026
C0959507,86733806,0.01026
C0959511,86730591,0.01026
C0959515,86727375,0.01026
C0959519,86724160,0.01026
C0959523,86720944,0.01026
C0959527,86717728,0.01026
C0959531,86714513,0.01026
C0959535,86711297,0.01026
C0959539,86708082,0.01026
C0959543,86704866,0.01026
C0959547,86701651,0.01026
C0959551,86698435,0.01026
C0959555,86695220,0.01027
C0959559,86692004,0.01027
C0959603,86688788,0.01027
C0959607,86685573,0.01027
C0959611,86682357,0.01027
C0959615,86679142,0.01027
C0959619,86675926,0.01027
C0959623,86672711,0.01027
C0959627,86669495,0.01027
C0959631,86666280,0.01027
C0959635,86663064,0.01027
C0959639,86659848,0.01027
C0959643,86656633,0.01027
C0959647,86653417,0.01027
C0959651,86650202,0.01027
C0959655,86646986,0.01027
C0959659,86643771,0.01027
C0959703,86640555,0.01027
C0959707,86637340,0.01027
C0959805,86590714,0.01028
C0959809,86587499,0.01028
C0959813,86584283,0.01028
C0959817,86581067,0.01028
C0959821,86577852,0.01028
C0959825,86574636,0.01028
C0959829,86571421,0.01028
C0959833,86568205,0.01028
C0959837,86564990,0.01028
C0959841,86561774,0.01028
C0959845,86558559,0.01028
C0959849,86555343,0.01028
C0959853,86552127,0.01028
C0959857,86548912,0.01028
C0959901,86545696,0.01028
C0959905,86542481,0.01028
C0959909,86539265,0.01028
C0959913,86536050,0.01028
C0959917,86532834,0.01028
C0959921,86529619,0.01028
C0959925,86526403,0.01029
C0959929,86523188,0.01029
C0959933,86519972,0.01029
C0959937,86516756,0.01029
C0959941,86513541,0.01029
C0959945,86510325,0.01029
C0959949,86507110,0.01029
C0959953,86503894,0.01029
C0959957,86500679,0.01029
C0960001,86497463,0.01029
C0960005,86494248,0.01029
C0960009,86491032,0.01029
C0960013,86487816,0.01029
C0960017,86484601,0.01029
C0960021,86481385,0.01029
C0960025,86478170,0.01029
C0960029,86474954,0.01029
C0960033,86471739,0.01029
C0960037,86468523,0.01029
C0960041,86465308,0.01029
C0960045,86462092,0.01029
C0960049,86458877,0.01029
C0960053,86455661,0.01029
C0960057,86452445,0.01029
C0960101,86449230,0.01029
C0960158,86403408,0.07701
C0960204,86398585,0.07702
C0960211,86392958,0.07702
C0960218,86387331,0.07703
C0960225,86381703,0.0103
C0960454,86261925,0.07714
C0960515,86245043,0.07716
C0960521,86240220,0.07716
C0960528,86234592,0.07716
C0960535,86228965,0.07717
C0960542,86223338,0.01032
C0960943,86029602,0.07735
C0960949,86024779,0.07735
C0960956,86019152,0.07736
C0961003,86013525,0.07736
C0961010,86007897,0.01035
C0961411,85814162,0.07754
C0961417,85809339,0.07755
C0961424,85803712,0.07755
C0961431,85798085,0.07756
C0961438,85792458,0.01037
C0962718,85181514,0.07812
C0962735,85167848,0.07813
C0962741,85163025,0.07814
C0962747,85158202,0.07814
C0962754,85152575,0.07815
C0962801,85146948,0.07815
C0963201,84954020,0.07833
C0963207,84949197,0.07833
C0963213,84944374,0.07834
C0963220,84938747,0.07834
C0963227,84933120,0.07835
C0964527,84306111,0.07893
C0964533,84301288,0.07893
C0964540,84295661,0.07894
C0964547,84290034,0.07894
C0964554,84284407,0.01056
C0964629,84256272,0.01056
C0964635,84251449,0.01056
C0964642,84245822,0.07899
C0964649,84240195,0.07899
C0964657,84233764,0.01057
C0964713,84220903,0.07901
C0964719,84216079,0.07901
C0964725,84211256,0.07902
C0964731,84206433,0.07902
C0964738,84200806,0.07903
C0964745,84195179,0.07903
C0964751,84190356,0.07904
C0964757,84185533,0.07904
C0964803,84180710,0.07905
C0964809,84175887,0.07905
C0964816,84170260,0.07906
C0964823,84164633,0.07906
C0964829,84159810,0.07907
C0964835,84154987,0.07907
C0964841,84150164,0.07908
C0964847,84145341,0.07908
C0964854,84139714,0.07909
C0964901,84134087,0.07909
C0964908,84128460,0.0791
C0964914,84123637,0.0791
C0964920,84118814,0.07911
C0964926,84113990,0.07911
C0964932,84109167,0.07911
C0964939,84103540,0.07912
C0964946,84097913,0.07913
C0964952,84093090,0.07913
C0964958,84088267,0.07913
C0965004,84083444,0.07914
C0965010,84078621,0.07914
C0965017,84072994,0.07915
C0965024,84067367,0.07915
C0965030,84062544,0.07916
C0965036,84057721,0.07916
C0965042,84052898,0.07917
C0965048,84048075,0.07917
C0965055,84042448,0.07918
C0965102,84036821,0.07918
C0965109,84031194,0.07919
