fileid,volume,phase,craft,target,instrument,filter,note
C1472759,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472801,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472803,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1472805,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1473028,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1473030,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1473032,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1473034,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1473257,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,UV,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
C1473259,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ROUTINE MULTISPECTRAL LONGITUDE COVERAGE; 1 OF 4 NA
